Eksiklik teoremi	Yinelgen
Birleşik Demokratlar	Kıbrıs Cumhuriyeti'nde bulunan siyasal partiler listesi
James Clerk Maxwell	Maxwell köprüsü
Çarukluğ boyu	Çaruk
Steve Biko	Güney Afrika Cumhuriyeti
Kemal Kerinçsiz	Türk Ceza Kanunu 301. maddesi
Prince George, British Columbia	Britanya Kolombiyası
Cıvata	Arşimet spirali
Ap ve Bp yıldızı	Yıldız sınıflandırma
Nobel Fizyoloji veya Tıp Ödülü	Nobel Fizyoloji veya Tıp Ödülü sahipleri
Nesne Yönelimli Programlama	Nesne tabanlı programlama dili
Ottawa, Ontario	Ontario
Trabzon (merkez)	Trabzon Kuleleri
1. Afife Tiyatro Ödülleri	Afife Tiyatro Ödülleri
Skoool.tr	E-Okul
Aile hukuku	Cezayir Aile Yasası
Simple Portal	Simple Machines Forum
Paris (anlam ayrımı)	Parris
1421 (kitap)	Çin coğrafi keşifleri
Harry Potter ve Zümrüdüanka Yoldaşlığı (film)	Harry Potter ve Zümrüdüanka Yoldaşlığı (film müziği)
Sabit zaman	Logaritmik zaman
Laçın Koridoru	Qashatagh
Köprülü Amcazade Hacı Hüseyin Paşa	Amcazade Yalısı
Akyaka, Ula	Nail Çakırhan
Türkiye'de Yahudilik	Sabetaycılık
Venüs (mitoloji)	Afrodit
Lokma (tatlı)	Tulumba tatlısı
Rhythm and Blues	Blues
Gökada kümesi	Gök adalar dizini
Deizm	Agnostisizm
Çin-Japon Savaşı	Japon-Sovyet Çatışmaları
Uçak mühendisliği	Uzay mühendisliği
Coğrafi keşifler listesi	Portekiz coğrafi keşifleri
1998 Dünya Halter Şampiyonası - Erkekler 77 kg	2000 Yaz Olimpiyatları/Halter
Hughes-Ryan Yasası	İstihbarat Gözetimi Yasası
Brandon, Manitoba	Manitoba
Yorumlanan programlama dili	Yorumlayıcı
Politik iktisat	İktisadi İdeoloji
Cauchy integral teoremi	Cauchy-Riemann denklemleri
Rabindranath Tagore	Gandhi
Fırtınalı Dönemlerde Yönetim (kitap)	Popüler iş kitapları listesi
Atopik dermatit	Ekzema
Georg Cantor	Cantor paradoksu
Gökbilim	Gök mekaniği
Kâfir	Müşrik
Astrahan Seferi	Sokollu Mehmet Paşa
Peyzaj	White Mountain resmi
Das Schwarze Korps	Adolf Hitler
Toshiba	Flash memory
İkincil karakter Ravenclaw'lılar	Harry Potter (karakterler)
İstanbul'un tarihi	Türkiye Cumhuriyeti
DNA ikileşmesi	Telomeraz
Brown hareketi	Brown dinamiği
2010-2019 demiryolu kazaları listesi	İngiliz demiryolu kazaları listesi
Zam Zam Cola	Evoca Cola
Galaksi	Süperküme
Türkiye 21 Yaş Altı Millî Futbol Takımı	Avrupa 21 Yaş Altı Futbol Şampiyonası
Hayley	Hailey
Diana Ross	We are the World
Seyyid Hüseyin Nasr	Tradisyonalizm
Juventus FC	2006 Serie A Skandalı
Edward Lorenz	Kaos teorisi
The Little Shop of Horrors	Küçük Korku Dükkanı (film, 1986)
NGC 1097	Ocak kümesi
NGC 4038 grubu	M96 Grubu
Volkssturm	Alman ordusu
Rurik	Rus hükümdarları listesi
Sünnet (din)	Haram
Ortadoğu tarihinin kronolojik listesi	Babil
NGC 4625	NGC 5713
Ülkelerin kişi başına GSYİH’ya (nominal) göre sıralanışı	Ülkelerin GSYİH’ya (SAGP) göre sıralanışı
Near East (savaş oyunu)	İngilizler ve Sovyetlerin İran'a istilası
Teoman (lider)	Hiung-nu
Normal dağılım	Çarpık normal dağılım
Yusuf Akçura	Sadri Maksudi Arsal
Normandiya	Normandiya Çıkarması
Mavrikios	Bizans imparatorları (liste)
İşçi sınıfı	Sınıf bilinci
V. Konstantin	Bizans imparatorları
Wilhelm List	Mavi Operasyon
Ara Frekans	Mikser (Elektronik)
Genel denge teorisi	Dynamic stochastic general equilibrium
Yenileşim	2009 Yaratıcılık ve Yenilik Yılı
20. Yüzyıl Dünya Takımı Kadrosu	World Soccer Awards
Karboksilik asit	Ester
Bart damlacığı	Dev özdeciksel bulut
Aslan Süperkümesi	Süperküme
Lorraine 37L	II. Dünya Savaşı Zırhlı Araç Listesi
NGC 7331 Grubu	Stephan Beşlisi
NGC 4013	Messier 82
Karmaşık analiz	Çok değişkenli karmaşık analiz
NGC 4631	NGC 4565
Yahudi Irak Arapçası	Yahudi Bağdat Arapçası
Kıbrıs (ada)	Akdeniz adaları
Portekiz Sömürge Savaşları	Angola İç Savaşı
Panzerkampfwagen IV	II. Dünya Savaşı Zırhlı Araç Listesi
Aztek Üçlü İttifakı	Kolomb öncesi Amerika
ADSL	HDSL
Fransa Cumhurbaşkanlarının eşleri listesi	Fransa Cumhurbaşkanları listesi
Gravitasyon merkezi	Genel görelilik
Benito Mussolini	Faşizm
1974 UEFA Kupası Finali	UEFA Kupası 1973-74
Türk pop müziği	Pop folk
Dağ	Dağ çeşitleri listesi
II. Andronikos Palaiologos	Bizans imparatorları
Linux	Minix
Marder I	II.DS sırasında Almanya tank üretimi
Genler ve aleller	Gen
Cemel Vakası	İlk Fitne
Yunanistan	Yunanlar
M2 Browning	M2 Browning
Orakl	Manteuma
Veri sözlüğü	ISO/IEC 11179
Şeyh Bedreddin	Materyalizm
Larry Page	Google
Livia	Julio-Claudian aile ağacı
1735-1739 Osmanlı-Rus-Avusturya Savaşı	Belgrad Antlaşması
İctimai Televizyon ve Radyo Yayımları Şirketi	Eurovision Şarkı Yarışması'nda Azerbaycan
Tellermine 43	Kara mayınları listesi
İnsanlı ay yolculukları	Apollo Uzay Aracı
Gladio	JİTEM
Menaşe kabilesi	İsrailoğulları
Moskova Antlaşması	Brest Litovsk Barış Antlaşması
Gökada oluşumu ve evrimi	Gökada konsayıları sistemi
Türk bestecilerin zaman çizelgesi	Beste
İçerik yönetim sistemi	Elgg
Kül Tigin Yazıtı	Bilge Kağan Yazıtı
Çavundur, Kurşunlu	Mangışlak Yarımadası
Fonksiyon uzayı	Matematiksel fonksiyonlar listesi
2006 İsrail-Lübnan Savaşı	2006 İsrail-Lübnan Krizi kronoloji
Usenet	NZB
Zenobia	Palmira
Spaceguard	Asteroitleri saptırma stratejileri
Guy Fawkes	Guy Fawkes Gecesi
Türkiye biteyi	Türkiye biteyi, Commelina
Genel denge teorisi	Mechanism design theory
Kapadokya Yunancası	Yevanik
Almanya Komünist Partisi	Demokratik Almanya Cumhuriyeti
Mittuniversitetet	İsveç'te eğitim
Asteroit kuşağı	Asteroit
1. batı meridyeni	Baş meridyen
Türkiye'deki televizyon kanalları listesi	Türkiye'deki eski kanallar listesi
Danişmendli beyleri listesi	Danişmendliler Beyliği
Ayasofya Müzesi	Topkapı Sarayı
Ermeni ulusal hareketi	Ermeni millî uyanışı
Altın Aslan	Cannes Film Festival
Marx Kardeşler	Slapstick
Yaparım Bilirsin	Yine Sensiz
Osmanlı mimarisi	Yalı
Akçe	Sultani
Ahmet Yesevi	Alevilik
Din bilimleri	İlahiyat
Aviamarş	Lipetsk Havacılık Okulu ve Deneme Tesisi
Betül Mardin	Arif Mardin
Popstar Alaturka	İdol yarışmaları
Kamondo Ailesi	Sefarad
Ali Husaini Sistani	Büyük Ayetullah listesi
Jön Türkler	İttihat ve Terakki
Yükseliş yayı	Gezegensel zincir
Portre	Karikatür
Safaga	Mısır'daki şehirler listesi
Trophy Etkin Koruma Sistemi	General Dynamics
Kan damarı	Damar cerrahisi
Nesne Yönelimli Programlama	Soyutlama (Bilgisayar Bilimleri)
Franz Halder	20 Temmuz suikast girişimi
Web tabanlı öğrenme ortamında öğretmenin rolü, öğrencinin rolü, eş-zamanlı ve eş-zamansız iletişim araçları	Harmanlanmış öğrenme
I. Leo (imparator)	Bizans imparatorları
Brown hareketi	Osmoz
Alsace	Alsace-Lorraine
Geleneksel yıldız adları dizini	Arapça yıldız isimler listesi
Maitreya	Budizm
RPG-29	RPG-7
Ülkelerin kişi başına saatlik GSYİH’ya (SAGP) göre sıralanışı	Küresel Rekabet Endeksi
Turar Rıskulov	Milli komünizm
Denizli	Anadolu Kaplanları
Beluciler	Belucistan
Yarı başkanlık sistemi	Parlamenter sistem
NOD32	Kötücül yazılım (malware)
DVD Kartı	DVD Formatları
Eylül Günleri	Mart Olayları
Isı pompası	Isı değiştiricisi
Zend Studio	PHP
Klasik mekanik	Newton'un evrensel çekim kanunu
Kondor Lejyonu	Guernica Bombardımanı
M240 makineli tüfek	Bağdat
Gökada kümesi	Süperküme
Nöropsikoloji	Nöroloji
Jainizm	Maharashtra Jainleri
Mir	Soyuz uzay aracı
Allah	Allah'ın adları
Accademia (Venedik)	Accademia Musicale Chigiana
Komuta Modülü	Ay Örümceği
Televizyon	Renk sinyali
Caroline Müller	Modern Talking
Majisyen	Maji
Aydınlanma Çağı	Orta Çağ felsefesi
Mart Olayı	26 Şubat Olayı
Öğretmenlik	Öğretim
Damla	Yağmur
Kurtuluş Savaşı kronolojisi	Kurtuluş Savaşı
Denizatı	Newcastle upon Tyne
Barbaros Hayreddin (zırhlı)	Dağılma Dönemi Osmanlı Donanması
PhpMyVisites	İçerik Yönetim Sistemleri
Petrovaradin Meydan Muharebesi	Pasarofça Antlaşması
Altkitap	Murat Gülsoy
Gravitasyon merkezi	Graviton
Türkiye'de elektriğin tarihi	Elektrik tarihi
Ok açılı kanat	Delta kanat
Televizyon	Televizyon vericisi
Şeyh Bedreddin	Komünizm
Bir Avuç Dolar	Man with No Name
Vagetoterapi	Orgon
Yahudi Yemen Arapçası	Yahudi Tripolitan Arapçası
XMMXCS 2215-1738	2XMM J0830
Kürdistan Demokrat Partisi	1992 Kürdistan Bölgesel Yönetimi seçimleri
Nürnberg'in Usta Şarkıcıları	Opera
Kundalini	Shaktipat
Çakıl mayınlar	Kara mayınları listesi
Galaksi	Galaksiler dizini
LPZ mayını	Mayın
Thomas Ferebee	Tinian Adası
Maşrek	Levant
