Beckmann rearrangement	Schmidt reaction
Chi (Chobits)	Chobits
Microfungi	Hyphae
Sensory illusions in aviation	Pilot error
Kusići, Zenica	Jezera, Teslić
Lapsed Catholic	Catholic guilt
Headingley	Headingley Stadium
Israel and the apartheid analogy	Israeli West Bank barrier
Édouard Lucas	Lucas-Lehmer test
WikidPad	Personal wiki
Set-top box	Cable Converter Box
Defection	Renegade
Ulnar artery	Allen test
Modular synthesizer	Synthesizer
Elementary symmetric polynomial	Representation theory
Outliner	Mind map
GNU Prolog	SWI-Prolog
Anti-personnel mine	Demining
Lambeth Waterworks Company	London water supply infrastructure
Transference	Countertransference
Maculinea alcon	Maculinea alcon arenaria
Athens, Tennessee	Tennessee Wesleyan College
American craft	Glass art
Tuzk-e-Jahangiri	Akbarnama
Backplane	Switched fabric
Hunter-gatherer	Anarchy
Yap Kwan Seng	Yap Ah Loy
Cannon Air Force Base	Tactical Air Command
Travelling exhibition	National Touring Exhibitions
Doubletracking	Punching in
Code monkey	Real programmer
Kappa (company)	Fila (company)
La mian	Chinese noodles
Heart failure	Cardiogenic shock
Mount Tahan	Gunung Yong Belar
Cap Arcona	Hell ship
PSTricks	LaTeX
Object relations theory	John Bowlby
Abkhazian wine	Georgian wine
Chromosomal translocation	Chromosome abnormalities
National Rural Employment Guarantee Act	NREGS (Kerala)
YouTube API	YouTube
Homage (medieval)	Allegiance
Lake Khaiyr	Lake monster
Timor-Leste at the 2008 Summer Paralympics	Timor-Leste at the Paralympics
Galileo (satellite navigation)	Binary Offset Carrier
Pendolino	FIAT Ferroviaria
Galactic coordinate system	Galactic halo
Odyssean gods	Odyssey
Military dictatorship (Brazil)	Films depicting Latin American military dictatorships
Demography	General Social Survey
Bancopoli	Tangentopoli
OpenBabel	OELib
Larry Hisle	Hitting for the cycle
William Walker (filibuster)	Golden Circle (Slavery)
Dada	German Expressionism
Montreal Protocol	Vienna Conference (1985)
Archeia	Angels
Hollow Earth	Etidorhpa
Ball	Prisoner Ball
Toll roads around the world	407 ETR
Doomsday Device	Professional wrestling aerial techniques
Artificial ski slopes	Snowboarding
Castletown-Geoghegan	Dermot Farrell
China Aerospace Science and Technology Corporation	China Northern Industries
Taltopia	Professional network service
Firing order	Four-stroke engine
Pickup truck	Dodge Rampage
No. 303 Polish Fighter Squadron	Polish contribution to World War II
Conceptual architecture	Utopia
Logit	Daniel McFadden
Olympic Stadium (Wrocław)	Speedway Grand Prix of Europe
Logical equivalence	Logical equality
Human-based computation	Game with a purpose
Mead, Colorado	State of Colorado
Boscombe Bowmen	Amesbury Archer
Bolandoz	Communes of the Doubs department
Yazoo and Mississippi Valley Railroad	Baton Rouge, Louisiana
Abortion in the US by state	Abortion and religion
Nurmekund	Livonian Crusade
Russian Hatsavita Mountain Warfare Training	Alpha Group
Cover test	Strabismus
Inbreeding	Selective breeding
Mannitol hexanitrate	Methyl nitrate
Atchison, Topeka and Santa Fe Railway	BNSF Railway
Assiti Shards series	A Time Odyssey
Shirin Ebadi	Persian women's movement
Rouge	Khmer Rouge
Launch (boat)	Cabin cruiser
Nancy Richey	Tennis performance timeline comparison (women)
Baron Ponsonby of Shulbrede	Baron Ponsonby of Imokilly
'Pataphysics	Atlas Press
Lazare Carnot	Borda–Carnot equation
Public broadcasting	Corporate media
David Swinney	Modularity of Mind
Regulatory agency	Regulatory compliance
3 February 2007 Baghdad market bombing	18 April 2007 Baghdad bombings
Roman Catholic Diocese of Vitebsk	Roman Catholicism in Belarus
Syntelog	Comparative genomics
Thell Reed (Shooter)	Fast Draw
Sheba	Islamic view of the Queen of Sheba
Orleans County, Vermont	Historical U.S. Census Totals for Orleans County, Vermont
Bootle by-election, 1911	Bootle
Organic electronics	Carbon nanotube
Hypersonic	Scramjet
Arabian-Nubian Shield	Continental platform
VVV (journal)	Albert Skira
Bok globule	Molecular cloud
Least squares	Partial least squares regression
Écurie	Communes of the Pas-de-Calais department
Lena Willemark	Music of Sweden
Thyavanige	Districts of Karnataka
49th parallel north	50th parallel north
Tigo Guatemala	Honduras
Communist Party of Canada	Communist Party candidates, 2004 Canadian federal election
Glowworm	Glow-Worm Caves Tamborine Mountain
